id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port1295,Thunder Bay_Canada,CAN,POINT (-89.24340302135263 48.3841792968307),48.3841792968307,-89.24340302135263,3142473490.459633,128368978.12417096,603624328.7640604,3874466797.347864
port657,Lome_Toga,TGO,POINT (1.282708954234837 6.144824676404431),6.144824676404431,1.2827089542348369,3118790976.051618,7911524070.305249,6930372687.681001,17960687734.03787
port203,Cagliari_Italy,ITA,POINT (9.08468701930715 39.23143382756004),39.23143382756004,9.08468701930715,3103822597.485099,2817798910.1679726,88080929.32431863,6009702436.97739
port1270,Tanjung Sangata_Indonesia,IDN,POINT (117.6428356189638 0.5349948572798172),0.5349948572798172,117.64283561896384,3083797413.5518565,404529997.4469259,0.0,3488327410.998782
port620,La Pallice_France,FRA,POINT (-1.213359171620241 46.160139162205),46.160139162205,-1.2133591716202408,3057045019.240356,5108469921.36638,231916124.07993552,8397431064.68667
port784,Nacala_Mozambique,MOZ,POINT (40.65118404225086 -14.53535058549936),-14.535350585499362,40.65118404225086,3055853118.4660277,1259165420.34505,131753360.1676775,4446771898.978756
port700,Manzanillo_Panama,PAN,POINT (-79.88215480872702 9.367894426810736),9.367894426810736,-79.88215480872702,3026254613.1271124,14324817426.265724,75797184846.02164,93148256885.41447
port415,Grangemouth_United Kingdom,GBR,POINT (-3.68961592394568 56.02124607713708),56.02124607713708,-3.68961592394568,3004475290.906019,3465492060.960548,320772945.2555138,6790740297.122082
port828,North Ain Sukhna Port_Egypt,EGY,POINT (32.35392159113331 29.64742881823889),29.647428818238886,32.353921591133314,3000661612.3140664,6873526330.714477,423480757.9566191,10297668700.985163
port1388,Wellington_New Zealand,NZL,POINT (174.8304737730726 -41.25688928779923),-41.25688928779923,174.83047377307264,2989983461.2404213,2264392929.2457705,159792444.86011422,5414168835.346306
port1057,Puerto Quetzal_Guatemala,GTM,POINT (-90.79003767256297 13.92640929366596),13.92640929366596,-90.79003767256297,2971599287.83741,5781974972.824944,1066588645.4137046,9820162906.076057
port1387,Weipa_Australia,AUS,POINT (141.8764766759427 -12.65388009599976),-12.653880095999757,141.87647667594274,2940924080.162528,43522560.65421055,5828477.015987895,2990275117.8327265
port1231,Stura_Norway,NOR,POINT (4.865804810410851 60.59355707924318),60.593557079243176,4.865804810410851,2914027002.200127,1285542299.362992,96033015.2071379,4295602316.770257
port1253,Taicang_China,CHN,POINT (121.1376159719744 31.68751574728057),31.687515747280568,121.1376159719744,2913588215.640931,7387997288.6968565,166468399.2970878,10468053903.634876
port1228,Stockholm_Sweden,SWE,POINT (18.10598896251861 59.32920519108288),59.329205191082885,18.105988962518612,2910181238.0680637,3215436938.4579535,156870934.1324684,6282489110.658485
port1213,Sousse_Tunisia,TUN,POINT (10.64508158450096 35.82451281330599),35.824512813305994,10.645081584500959,2907832610.759293,3908872760.3731413,0.0,6816705371.132435
port781,Muuga-Port of Talinn_Estonia,EST,POINT (24.96895069115294 59.49390124677661),59.49390124677661,24.968950691152937,2901414442.984584,3150824605.6539955,1028593770.6297002,7080832819.26828
port943,Port De Kribi_Cameroon,CMR,POINT (9.861209105887896 2.724930863549935),2.7249308635499347,9.861209105887896,2881906656.9697895,4615068007.309126,1339807034.6196246,8836781698.89854
port1098,Reykjavik_Iceland,ISL,POINT (-21.84320934860955 64.16372638853352),64.16372638853352,-21.843209348609548,2881058024.6953554,3094413768.091572,399729887.95548815,6375201680.742415
port845,Oil terminal Agioi_Greece,GRC,POINT (23.07403802179351 37.92120179951978),37.92120179951978,23.074038021793513,2859837659.0512013,2351473685.992375,2738636244.2119374,7949947589.255514
port891,Pelabuhan Sansakan_Malaysia,MYS,POINT (118.0602551332189 5.80528858901949),5.80528858901949,118.06025513321892,2845136056.292389,3136710225.846146,48421788.839632444,6030268070.978167
port321,El-Adabiya_Egypt,EGY,POINT (32.46211563003946 29.90416291245046),29.904162912450463,32.46211563003946,2839707204.474574,1376430539.1930013,14396967.82441285,4230534711.491988
port1001,Porto De Mucuripe_Brazil,BRA,POINT (-38.47153569831669 -3.713436298762973),-3.713436298762973,-38.471535698316686,2830502025.526837,998204291.4307488,227775376.2268703,4056481693.184456
port1048,Puerto Ingeniero White_Argentina,ARG,POINT (-62.28346451051539 -38.78214151744961),-38.78214151744961,-62.283464510515394,2826327047.5766854,474124910.807276,4804920.993559147,3305256879.377521
port1180,Sendai-Shiogama_Japan,JPN,POINT (141.0275540863453 38.28471956294099),38.284719562940985,141.02755408634533,2822555894.6410923,4029141653.5602984,704666082.290643,7556363630.492034
port1383,Warri_Nigeria,NGA,POINT (5.72127173752795 5.516631503727129),5.516631503727129,5.7212717375279505,2813973517.786893,742933331.5212332,773949.893115146,3557680799.201241
port632,Lanqiao Port_China,CHN,POINT (119.3568500280907 35.11048268331691),35.11048268331691,119.35685002809069,2811304829.500728,24707289691.022903,18687669.535033915,27537282190.058666
port621,La Plata_Argentina,ARG,POINT (-57.90767720153204 -34.87191068253609),-34.87191068253609,-57.90767720153204,2811062481.5259914,202419775.2783374,60134149.81844343,3073616406.622772
port1393,Whangerei_New Zealand,NZL,POINT (174.4881889562446 -35.84238338193423),-35.84238338193423,174.4881889562446,2807375876.1024265,3283487526.4641423,6902924.570467177,6097766327.137035
port296,Djupviken_Norway,NOR,POINT (11.30506542730535 63.75286522153993),63.752865221539935,11.305065427305346,2794273348.9918027,1446699404.0718603,61148215.36227681,4302120968.42594
